DateTime,A_kWh,B_kWh,C_kWh,weekday
2019/10/14 05:00,0,120,84,1
2019/10/14 05:01,0,126,90,1
2019/10/14 05:02,0,120,90,1
2019/10/14 05:03,0,120,96,1
2019/10/14 05:04,0,120,114,1
2019/10/14 05:05,0,126,96,1
2019/10/14 05:06,0,120,90,1
2019/10/14 05:07,0,126,96,1
2019/10/14 05:08,0,126,108,1
2019/10/14 05:09,0,126,96,1
2019/10/14 05:10,0,126,102,1
2019/10/14 05:11,0,132,108,1
2019/10/14 05:12,0,126,108,1
2019/10/14 05:13,0,126,90,1
2019/10/14 05:14,0,120,102,1
2019/10/14 05:15,0,120,96,1
2019/10/14 05:16,0,120,96,1
2019/10/14 05:17,0,120,90,1
2019/10/14 05:18,0,120,84,1
2019/10/14 05:19,0,126,102,1
2019/10/14 05:20,0,144,96,1
2019/10/14 05:21,0,138,78,1
2019/10/14 05:22,0,138,102,1
2019/10/14 05:23,0,144,102,1
2019/10/14 05:24,0,138,120,1
2019/10/14 05:25,0,138,90,1
2019/10/14 05:26,0,138,108,1
2019/10/14 05:27,0,132,120,1
2019/10/14 05:28,0,132,102,1
2019/10/14 05:29,0,132,90,1
2019/10/14 05:30,0,132,96,1
2019/10/14 05:31,0,132,102,1
2019/10/14 05:32,0,132,96,1
2019/10/14 05:33,0,126,114,1
2019/10/14 05:34,0,132,90,1
2019/10/14 05:35,0,132,108,1
2019/10/14 05:36,0,132,102,1
2019/10/14 05:37,0,132,102,1
2019/10/14 05:38,0,132,120,1
2019/10/14 05:39,0,138,102,1
2019/10/14 05:40,0,132,96,1
2019/10/14 05:41,0,132,102,1
2019/10/14 05:42,0,138,102,1
2019/10/14 05:43,0,126,108,1
2019/10/14 05:44,0,144,96,1
2019/10/14 05:45,0,138,96,1
2019/10/14 05:46,0,144,96,1
2019/10/14 05:47,0,138,96,1
2019/10/14 05:48,0,138,102,1
2019/10/14 05:49,0,138,96,1
2019/10/14 05:50,0,150,96,1
2019/10/14 05:51,0,144,102,1
2019/10/14 05:52,0,138,102,1
2019/10/14 05:53,0,138,102,1
2019/10/14 05:54,0,150,96,1
2019/10/14 05:55,0,150,96,1
2019/10/14 05:56,0,150,96,1
2019/10/14 05:57,0,150,96,1
2019/10/14 05:58,0,150,96,1
2019/10/14 05:59,0,144,102,1
2019/10/14 06:00,0,156,114,1
2019/10/14 06:01,0,156,114,1
2019/10/14 06:02,0,150,108,1
2019/10/14 06:03,0,144,102,1
2019/10/14 06:04,0,150,108,1
2019/10/14 06:05,0,150,114,1
2019/10/14 06:06,0,150,114,1
2019/10/14 06:07,0,150,114,1
2019/10/14 06:08,0,150,114,1
2019/10/14 06:09,0,150,114,1
2019/10/14 06:10,0,156,108,1
2019/10/14 06:11,0,150,102,1
2019/10/14 06:12,0,150,108,1
2019/10/14 06:13,0,156,120,1
2019/10/14 06:14,0,162,114,1
2019/10/14 06:15,0,168,126,1
2019/10/14 06:16,0,192,132,1
2019/10/14 06:17,0,210,144,1
2019/10/14 06:18,,,,1
2019/10/14 06:19,0,180,126,1
2019/10/14 06:20,0,180,132,1
2019/10/14 06:21,0,174,120,1
2019/10/14 06:22,0,222,162,1
2019/10/14 06:23,0,234,156,1
2019/10/14 06:24,0,240,156,1
2019/10/14 06:25,0,246,156,1
2019/10/14 06:26,0,246,156,1
2019/10/14 06:27,0,246,156,1
2019/10/14 06:28,0,234,132,1
2019/10/14 06:29,0,234,150,1
2019/10/14 06:30,0,240,162,1
2019/10/14 06:31,0,246,144,1
2019/10/14 06:32,0,252,162,1
2019/10/14 06:33,0,252,156,1
2019/10/14 06:34,0,372,240,1
2019/10/14 06:35,0,522,336,1
2019/10/14 06:36,0,696,438,1
2019/10/14 06:37,0,708,462,1
2019/10/14 06:38,0,750,456,1
2019/10/14 06:39,0,786,504,1
2019/10/14 06:40,0,816,510,1
2019/10/14 06:41,0,828,540,1
2019/10/14 06:42,0,828,522,1
2019/10/14 06:43,0,822,546,1
2019/10/14 06:44,0,978,648,1
2019/10/14 06:45,0,984,636,1
2019/10/14 06:46,0,960,576,1
2019/10/14 06:47,0,972,606,1
2019/10/14 06:48,0,978,588,1
2019/10/14 06:49,0,996,618,1
2019/10/14 06:50,0,990,582,1
2019/10/14 06:51,0,978,612,1
2019/10/14 06:52,0,1014,636,1
2019/10/14 06:53,0,990,630,1
2019/10/14 06:54,0,1014,642,1
2019/10/14 06:55,0,1020,642,1
2019/10/14 06:56,0,1050,678,1
2019/10/14 06:57,0,1098,666,1
2019/10/14 06:58,0,1104,690,1
2019/10/14 06:59,0,1056,630,1
2019/10/14 07:00,0,1140,720,1
2019/10/14 07:01,0,1164,696,1
2019/10/14 07:02,0,1212,744,1
2019/10/14 07:03,-6,1230,702,1
2019/10/14 07:04,-6,1266,744,1
2019/10/14 07:05,-6,1308,792,1
2019/10/14 07:06,-6,1344,810,1
2019/10/14 07:07,-6,1344,822,1
2019/10/14 07:08,-6,1350,810,1
2019/10/14 07:09,-6,1356,804,1
2019/10/14 07:10,-6,1302,786,1
2019/10/14 07:11,-6,1362,822,1
2019/10/14 07:12,-6,1362,858,1
2019/10/14 07:13,-6,1350,822,1
2019/10/14 07:14,-6,1434,870,1
2019/10/14 07:15,-6,1434,864,1
2019/10/14 07:16,-6,1416,846,1
2019/10/14 07:17,-6,1368,828,1
2019/10/14 07:18,-6,1206,762,1
2019/10/14 07:19,-6,1212,756,1
2019/10/14 07:20,-6,1158,726,1
2019/10/14 07:21,0,1098,696,1
2019/10/14 07:22,-6,1182,714,1
2019/10/14 07:23,-6,1164,714,1
2019/10/14 07:24,-6,1230,768,1
2019/10/14 07:25,-6,1236,756,1
2019/10/14 07:26,-6,1278,762,1
2019/10/14 07:27,-6,1332,786,1
2019/10/14 07:28,-6,1350,792,1
2019/10/14 07:29,-6,1302,774,1
2019/10/14 07:30,-6,1350,816,1
2019/10/14 07:31,-6,1320,810,1
2019/10/14 07:32,-6,1338,828,1
2019/10/14 07:33,-6,1314,804,1
2019/10/14 07:34,-6,1320,798,1
2019/10/14 07:35,-6,1326,828,1
2019/10/14 07:36,-6,1308,846,1
2019/10/14 07:37,-6,1344,810,1
2019/10/14 07:38,-6,1362,822,1
2019/10/14 07:39,-6,1302,786,1
2019/10/14 07:40,-6,1344,798,1
2019/10/14 07:41,-6,1308,792,1
2019/10/14 07:42,-6,1332,810,1
2019/10/14 07:43,-6,1374,810,1
2019/10/14 07:44,-6,1374,858,1
2019/10/14 07:45,-6,1380,858,1
2019/10/14 07:46,-6,1332,804,1
2019/10/14 07:47,-6,1320,834,1
2019/10/14 07:48,-6,1332,792,1
2019/10/14 07:49,-6,1338,798,1
2019/10/14 07:50,-6,1332,798,1
2019/10/14 07:51,-6,1344,792,1
2019/10/14 07:52,-6,1320,792,1
2019/10/14 07:53,-6,1362,816,1
2019/10/14 07:54,-6,1308,774,1
2019/10/14 07:55,-6,1362,834,1
2019/10/14 07:56,-6,1332,798,1
2019/10/14 07:57,-6,1332,804,1
2019/10/14 07:58,-6,1314,816,1
2019/10/14 07:59,-6,1290,786,1
2019/10/14 08:00,-6,1326,804,1
2019/10/14 08:01,-6,1332,798,1
2019/10/14 08:02,-6,1314,780,1
2019/10/14 08:03,-6,1284,774,1
2019/10/14 08:04,-6,1302,786,1
2019/10/14 08:05,-6,1278,780,1
2019/10/14 08:06,-6,1308,792,1
2019/10/14 08:07,-6,1326,810,1
2019/10/14 08:08,-6,1254,750,1
2019/10/14 08:09,-6,1260,738,1
2019/10/14 08:10,-6,1314,774,1
2019/10/14 08:11,-6,1320,768,1
2019/10/14 08:12,-6,1332,774,1
2019/10/14 08:13,-6,1350,792,1
2019/10/14 08:14,-6,1356,792,1
2019/10/14 08:15,-6,1302,792,1
2019/10/14 08:16,-6,1302,756,1
2019/10/14 08:17,-6,1314,786,1
2019/10/14 08:18,-6,1362,792,1
2019/10/14 08:19,-6,1314,768,1
2019/10/14 08:20,-6,1290,768,1
2019/10/14 08:21,-6,1320,798,1
2019/10/14 08:22,-6,1314,750,1
2019/10/14 08:23,-6,1296,780,1
2019/10/14 08:24,-6,1302,768,1
2019/10/14 08:25,-6,1272,762,1
2019/10/14 08:26,-6,1260,756,1
2019/10/14 08:27,-6,1254,774,1
2019/10/14 08:28,-6,1254,750,1
2019/10/14 08:29,-6,1290,774,1
2019/10/14 08:30,-6,1308,786,1
2019/10/14 08:31,-6,1266,750,1
2019/10/14 08:32,-6,1266,768,1
2019/10/14 08:33,-6,1248,744,1
2019/10/14 08:34,-6,1290,804,1
2019/10/14 08:35,-6,1278,732,1
2019/10/14 08:36,-6,1248,744,1
2019/10/14 08:37,-6,1230,750,1
2019/10/14 08:38,-6,1254,756,1
2019/10/14 08:39,-6,1302,786,1
2019/10/14 08:40,-6,1260,762,1
2019/10/14 08:41,-6,1266,768,1
2019/10/14 08:42,-6,1308,792,1
2019/10/14 08:43,-6,1242,762,1
2019/10/14 08:44,-6,1248,756,1
2019/10/14 08:45,-6,1200,720,1
2019/10/14 08:46,-6,1284,756,1
2019/10/14 08:47,-6,1278,768,1
2019/10/14 08:48,-6,1236,756,1
2019/10/14 08:49,-6,1242,762,1
